17:19:26 | TagsProcessor        | INFO     |    [i] Строк с тегами 'other': 15.73% (1881/11961)
17:19:26 | TagsProcessor        | WARNING  | Примеры тегов, попавших в 'other': ['производственное_предприятие', 'место_для_перегона_скота', 'объект_строительства', 'автостоянка_не_отделенная_от_проезжей_части', 'объект_здание_сооружение_религиозного_культа', 'зоны_отдыха', 'автостоянка_отделенная_от_проезжей_части', 'иной_объект', 'кладбище']
17:19:26 | TagsProcessor        | INFO     | <<< [КОНЕЦ] Обработка объектов окружения (nearby). Время: 0.40 сек.
17:19:26 | SpatialProcessor     | INFO     | >>> [НАЧАЛО] Обработка географических признаков...
17:19:26 | SpatialProcessor     | INFO     |    [i] Координаты обработаны.
17:19:27 | SpatialProcessor     | INFO     |    [i] Регионы (дочерный и родительский) обработаны.
17:19:27 | SpatialProcessor     | INFO     |    [i] Схемы обработаны (fillna + split).
17:19:27 | SpatialProcessor     | INFO     | <<< [КОНЕЦ] Обработка географических признаков. Время: 0.13 сек.
17:19:27 | CategoryProcessor    | INFO     | >>> [НАЧАЛО] Обработка категории дтп...
17:19:27 | CategoryProcessor    | WARNING  | Колонка 'category': 1 новых значений вне Whitelist → заменены на 'иной_вид_дтп'. Примеры: [возгорание_вследствие_технической_неисправности_движущегося_или_остановившегося_тс_участвующего_в_дорожном_движении]. Затронуто 1 строк (0.01%).
17:19:27 | CategoryProcessor    | INFO     |    [i] Топ-3 категории: {'столкновение': 5085, 'наезд_на_пешехода': 3884, 'наезд_на_препятствие': 709}
17:19:27 | CategoryProcessor    | INFO     | <<< [КОНЕЦ] Обработка категории дтп. Время: 0.06 сек.
17:19:27 | ConditionsProcessor  | INFO     | >>> [НАЧАЛО] Обработка списков погоды и дорожных условий...
17:19:27 | ConditionsProcessor  | INFO     |    [i] Погода обработана.
